name,team_code,pos
Mesut Özil,3,3
Sokratis Papastathopoulos,3,2
David Luiz Moreira Marinho,3,2
Pierre-Emerick Aubameyang,3,3
Cédric Soares,3,2
Alexandre Lacazette,3,4
Shkodran Mustafi,3,2
Bernd Leno,3,1
Granit Xhaka,3,3
Pablo Marí,3,2
Héctor Bellerín,3,2
Calum Chambers,3,2
Sead Kolasinac,3,2
Rob Holding,3,2
Kieran Tierney,3,2
Nicolas Pépé,3,3
Lucas Torreira,3,3
Reiss Nelson,3,3
Edward Nketiah,3,4
Emile Smith Rowe,3,3
Bukayo Saka,3,3
Matteo Guendouzi,3,3
Gabriel Teodoro Martinelli Silva,3,3
William Saliba,3,2
Mathew Ryan,3,1
Willian Borges Da Silva,3,3
Gabriel Magalhães,3,2
Daniel Ceballos Fernández,3,3
Mohamed Naser El Sayed Elneny,3,3
Matt Macey,3,1
Rúnar Alex Rúnarsson,3,1
Thomas Partey,3,3
Martin Ødegaard,3,3
Emiliano Martínez,7,1
Tom Heaton,7,1
Ahmed El Mohamady,7,2
Henri Lansbury,7,3
Neil Taylor,7,2
Jed Steer,7,1
Conor Hourihane,7,3
José Ignacio Peleteiro Romallo,7,3
Ørjan Nyland,7,1
Bjorn Engels,7,2
Jack Grealish,7,3
John McGinn,7,3
Kortney Hause,7,2
Mahmoud Ahmed Ibrahim Hassan,7,3
Tyrone Mings,7,2
Matt Targett,7,2
James Bree,7,2
Marvelous Nakamba,7,3
Anwar El Ghazi,7,3
Ezri Konsa Ngoyo,7,2
Frédéric Guilbert,7,2
Wesley Moraes,7,4
Mbwana Samatta,7,4
Keinan Davis,7,4
Indiana Vassilev,7,4
Douglas Luiz Soares de Paulo,7,3
Ross Barkley,7,3
Matthew Cash,7,2
Ollie Watkins,7,4
Bertrand Traoré,7,3
Jacob Ramsey,7,3
Morgan Sanson,7,3
Kaine Hayden,7,3
Carney Chukwuemeka,7,3
Glenn Murray,36,4
Adam Lallana,36,3
Pascal Groß,36,3
Shane Duffy,36,2
Davy Pröpper,36,3
Aaron Mooy,36,3
Dan Burn,36,2
Lewis Dunk,36,2
Martín Montoya,36,2
Florin Andone,36,4
Solomon March,36,3
Adam Webster,36,2
Joël Veltman,36,2
Neal Maupay,36,4
Leandro Trossard,36,3
Alireza Jahanbakhsh,36,3
José Izquierdo,36,3
Matthew Clarke,36,2
Ben White,36,2
Bernardo Fernandes da Silva Junior,36,2
Yves Bissouma,36,3
Tariq Lamptey,36,2
Aaron Connolly,36,4
Steven Alzate,36,3
Alexis Mac Allister,36,3
Christian Walton,36,1
Jason Steele,36,1
Jayson Molumby,36,3
Andi Zeqiri,36,4
Danny Welbeck,36,4
Robert Sánchez,36,1
Percy Tau,36,3
Jakub Moder,36,3
Reda Khadra,36,3
Teddy Jenks,36,3
Max Sanders,36,3
Jensen Weir,36,3
Thomas McGill,36,1
Michal Karbownik,36,2
Moisés Caicedo,36,3
Dale Stephens,90,3
James Tarkowski,90,2
Phil Bardsley,90,2
Erik Pieters,90,2
Jack Cork,90,3
Kevin Long,90,2
Jay Rodriguez,90,4
Ashley Barnes,90,4
Ben Mee,90,2
Ashley Westwood,90,3
Johann Berg Gudmundsson,90,3
Chris Wood,90,4
Matthew Lowton,90,2
Matej Vydra,90,4
Ben Gibson,90,2
Robbie Brady,90,3
Nick Pope,90,1
Charlie Taylor,90,2
Josh Brownhill,90,3
Bailey Peacock-Farrell,90,1
Dwight McNeil,90,3
Jimmy Dunne,90,2
Bobby Thomas,90,2
Josh Benson,90,3
Anthony Driscoll-Glennon,90,2
Mace Goodridge,90,3
Will Norris,90,1
Max Thompson,90,4
Lewis Richardson,90,4
Anthony Mancini,90,3
Joel Mumbongo,90,4
Richard Nartey,90,2
Willy Caballero,8,1
César Azpilicueta,8,2
Olivier Giroud,8,4
Marcos Alonso,8,2
Jorge Luiz Frello Filho,8,3
Mateo Kovacic,8,3
Antonio Rüdiger,8,2
Kurt Zouma,8,2
Emerson Palmieri dos Santos,8,2
Kepa Arrizabalaga,8,1
N'Golo Kanté,8,3
Hakim Ziyech,8,3
Andreas Christensen,8,2
Timo Werner,8,4
Tammy Abraham,8,4
Christian Pulisic,8,3
Mason Mount,8,3
Fikayo Tomori,8,2
Callum Hudson-Odoi,8,3
Reece James,8,2
Billy Gilmour,8,3
Benjamin Chilwell,8,2
Thiago Thiago,8,2
Kai Havertz,8,3
Edouard Mendy,8,1
Karlo Ziger,8,1
Faustino Anjorin,8,3
Michy Batshuayi,31,4
Gary Cahill,31,2
Wayne Hennessey,31,1
Mamadou Sakho,31,2
Vicente Guaita,31,1
James Tomkins,31,2
James McArthur,31,3
James McCarthy,31,3
Christian Benteke,31,4
Cheikhou Kouyaté,31,3
Joel Ward,31,2
Martin Kelly,31,2
Connor Wickham,31,4
Andros Townsend,31,3
Luka Milivojevic,31,3
Patrick van Aanholt,31,2
Jordan Ayew,31,4
Wilfried Zaha,31,3
Jeffrey Schlupp,31,3
Max Meyer,31,3
Jairo Riedewald,31,3
Nathan Ferguson,31,2
Tyrick Mitchell,31,2
Brandon Pierrick,31,3
Scott Dann,31,2
Eberechi Eze,31,3
Sam Woods,31,2
Ryan Inniss,31,2
Nathaniel Clyne,31,2
Stephen Henderson,31,1
Jack Butland,31,1
Jean-Philippe Mateta,31,4
Fabian Delph,11,3
Gylfi Sigurdsson,11,3
Jonas Lössl,11,1
Seamus Coleman,11,2
Cenk Tosun,11,4
Bernard Anício Caldeira Duarte,11,3
Lucas Digne,11,2
Michael Keane,11,2
Jordan Pickford,11,1
André Filipe Tavares Gomes,11,3
Alex Iwobi,11,3
Jonjoe Kenny,11,2
Jean-Philippe Gbamin,11,3
Yerry Mina,11,2
Tom Davies,11,3
Dominic Calvert-Lewin,11,4
Mason Holgate,11,2
Richarlison de Andrade,11,4
João Virgínia,11,1
Anthony Gordon,11,3
Moise Kean,11,4
Jarrad Branthwaite,11,2
Allan Marques Loureiro,11,3
James Rodríguez,11,3
Abdoulaye Doucouré,11,3
Niels Nkounkou,11,2
Ben Godfrey,11,2
Robin Olsen,11,1
Ellis Simms,11,4
Tyler Onyango,11,3
Joshua King,11,4
Ruben Loftus-Cheek,54,3
Fabricio Agosto Ramírez,54,1
Kevin McDonald,54,3
Maxime Le Marchand,54,2
Stefan Johansen,54,3
Tom Cairney,54,3
Tim Ream,54,2
Anthony Knockaert,54,3
Michael Hector,54,2
Cyrus Christie,54,2
Neeskens Kebano,54,3
Bobby Decordova-Reid,54,4
Joe Bryan,54,2
Marcus Bettinelli,54,1
Aleksandar Mitrović,54,4
Alfie Mawson,54,2
Marek Rodák,54,1
Ivan Ricardo Neves Abreu Cavaleiro,54,3
Josh Onomah,54,3
Jean Michaël Seri,54,3
Aboubakar Kamara,54,3
André-Frank Zambo Anguissa,54,3
Zeze Steven Sessegnon,54,2
Harrison Reed,54,3
Antonee Robinson,54,2
Mario Lemina,54,3
Alphonse Areola,54,1
Kenny Tete,54,2
Denis Odoi,54,2
Ademola Lookman,54,3
Ola Aina,54,2
Joachim Andersen,54,2
Tosin Adarabioyo,54,2
Terence Kongolo,54,2
Josh Maja,54,4
Wes Morgan,13,2
Kasper Schmeichel,13,1
Christian Fuchs,13,2
Jonny Evans,13,2
Adrien Silva,13,3
Marc Albrighton,13,3
Matty James,13,3
Danny Ward,13,1
Jamie Vardy,13,4
Dennis Praet,13,3
Ricardo Domingos Barbosa Pereira,13,2
Daniel Amartey,13,2
Youri Tielemans,13,3
Ayoze Pérez,13,3
Demarai Gray,13,3
James Maddison,13,3
Kelechi Iheanacho,13,4
Hamza Choudhury,13,3
Harvey Barnes,13,3
Wilfred Ndidi,13,3
Filip Benkovic,13,2
Çaglar Söyüncü,13,2
James Justin,13,2
Luke Thomas,13,2
Timothy Castagne,13,2
Nampalys Mendy,13,3
Cengiz Ünder,13,3
Wesley Fofana,13,2
Islam Slimani,13,4
Vontae Daley-Campbell,13,2
